representation,model,split,accuracy,f1,auc,ap
All3,pca64_lr_l2,23,0.7222222222222222,0.75,0.8390092879256965,0.8970513949681505
All3,pca64_lr_l2,24,0.6388888888888888,0.6486486486486487,0.71875,0.7108306884333268
All3,pca64_lr_l2,25,0.6388888888888888,0.6976744186046512,0.6781250000000001,0.6874196743621465
All3,pca64_lr_l2,26,0.6756756756756757,0.7,0.8147058823529412,0.7886750931061276
All3,pca64_lr_l2,27,0.7222222222222222,0.7058823529411765,0.8513931888544891,0.8716096493353294
All3,pca64_lr_l2,28,0.8055555555555556,0.8205128205128205,0.848297213622291,0.850134049470044
All3,pca64_lr_l2,29,0.7777777777777778,0.7894736842105263,0.821875,0.8489147184514834
All3,pca64_lr_l2,30,0.6111111111111112,0.65,0.71875,0.7523581354324766
All3,pca64_lr_l2,31,0.8108108108108109,0.8292682926829268,0.7970588235294117,0.804771675256233
All3,pca64_lr_l2,32,0.6666666666666666,0.7,0.6996904024767803,0.7403893853151826
All3,pca64_lr_l2,33,0.7222222222222222,0.7368421052631579,0.7213622291021672,0.7598040875925021
All3,pca64_lr_l2,34,0.7777777777777778,0.8,0.778125,0.7660795342428469
All3,pca64_lr_l2,35,0.7777777777777778,0.7647058823529411,0.840625,0.8928450255129021
All3,pca64_lr_l2,36,0.6216216216216216,0.6666666666666666,0.638235294117647,0.6265352689607722
All3,pca64_lr_l2,37,0.5833333333333334,0.6511627906976745,0.6408668730650154,0.6873534783160822
All3,pca64_lr_l2,38,0.6944444444444444,0.7027027027027027,0.8328173374613003,0.8442262200409503
All3,pca64_lr_l2,39,0.8055555555555556,0.8372093023255814,0.815625,0.8333949616878384
All3,pca64_lr_l2,40,0.75,0.7567567567567568,0.840625,0.9013989715668482
All3,pca64_lr_l2,41,0.7837837837837838,0.8,0.8264705882352942,0.845425548794744
All3,pca64_lr_l2,42,0.6666666666666666,0.6666666666666666,0.739938080495356,0.7230751405883209
All3,pca64_lr_l2,43,0.6944444444444444,0.7027027027027027,0.7089783281733746,0.7485750182627136
All3,pca64_lr_l2,44,0.7222222222222222,0.75,0.7593749999999999,0.8233662620494671
All3,pca64_lr_l2,45,0.6666666666666666,0.6842105263157895,0.721875,0.7125486956076793
All3,pca64_lr_l2,46,0.7567567567567568,0.7567567567567568,0.7794117647058824,0.825978445785372
All3,pca64_lr_l2,47,0.75,0.7096774193548387,0.8668730650154799,0.8977731396226167
All3,pca64_lr_l2,48,0.6388888888888888,0.6486486486486487,0.7925696594427245,0.8326892584980021
All3,pca64_lr_l2,49,0.6944444444444444,0.7317073170731707,0.7375,0.7453494848665337
All3,pca64_lr_l2,50,0.6388888888888888,0.7111111111111111,0.7593749999999999,0.8088696514717386
All3,pca32_lr_l2,1,0.7027027027027027,0.7317073170731707,0.7,0.7603382720359715
All3,pca32_lr_l2,2,0.75,0.7804878048780488,0.804953560371517,0.7331126716165256
All3,pca32_lr_l2,3,0.8333333333333334,0.85,0.8637770897832817,0.8755445663727395
All3,pca32_lr_l2,4,0.75,0.7272727272727273,0.8374999999999999,0.8874078949846216
All3,pca32_lr_l2,5,0.6388888888888888,0.6285714285714286,0.69375,0.7072602482619309
All3,pca32_lr_l2,6,0.6486486486486487,0.6666666666666666,0.711764705882353,0.6961194235188043
All3,pca32_lr_l2,7,0.75,0.7272727272727273,0.8080495356037152,0.8286327245708864
All3,pca32_lr_l2,8,0.8055555555555556,0.8205128205128205,0.8297213622291021,0.8661908429954703
All3,pca32_lr_l2,9,0.5833333333333334,0.5945945945945946,0.7281249999999999,0.7220175602987979
All3,pca32_lr_l2,10,0.8055555555555556,0.8205128205128205,0.85625,0.8714920932336636
All3,pca32_lr_l2,11,0.7837837837837838,0.7894736842105263,0.7735294117647059,0.8200002597910321
All3,pca32_lr_l2,12,0.6944444444444444,0.6857142857142857,0.848297213622291,0.8270858306323516
All3,pca32_lr_l2,13,0.75,0.7692307692307693,0.7739938080495357,0.8111297599708058
All3,pca32_lr_l2,14,0.75,0.7906976744186046,0.7625,0.7268069716131872
All3,pca32_lr_l2,15,0.6388888888888888,0.6486486486486487,0.69375,0.7431350716712177
All3,pca32_lr_l2,16,0.5405405405405406,0.5142857142857142,0.5941176470588235,0.670569166542314
All3,pca32_lr_l2,17,0.8333333333333334,0.8333333333333334,0.8390092879256966,0.8089160083559515
All3,pca32_lr_l2,18,0.9166666666666666,0.918918918918919,0.9349845201238389,0.9470595696121589
All3,pca32_lr_l2,19,0.6944444444444444,0.717948717948718,0.740625,0.8022041435161809
All3,pca32_lr_l2,20,0.7777777777777778,0.8,0.796875,0.7529741445961495
All3,pca32_lr_l2,21,0.6756756756756757,0.6666666666666666,0.7882352941176471,0.8080324239457368
All3,pca32_lr_l2,22,0.75,0.7567567567567568,0.8637770897832817,0.8622140747079641
All3,pca32_lr_l2,23,0.7777777777777778,0.8,0.8854489164086687,0.9255313765182185
All3,pca32_lr_l2,24,0.6944444444444444,0.7027027027027027,0.725,0.7243855175798909
All3,pca32_lr_l2,25,0.6944444444444444,0.7441860465116279,0.66875,0.6769609957471417
All3,pca32_lr_l2,26,0.7567567567567568,0.7567567567567568,0.8529411764705882,0.8107884250252672
All3,pca32_lr_l2,27,0.6944444444444444,0.6666666666666666,0.8452012383900929,0.8681943206357661
All3,pca32_lr_l2,28,0.8055555555555556,0.8205128205128205,0.8513931888544891,0.8682726938784677
All3,pca32_lr_l2,29,0.8333333333333334,0.85,0.8343749999999999,0.868586248675645
All3,pca32_lr_l2,30,0.6388888888888888,0.6666666666666666,0.721875,0.7675711164089569
All3,pca32_lr_l2,31,0.8378378378378378,0.85,0.8382352941176471,0.837689062528459
All3,pca32_lr_l2,32,0.6388888888888888,0.6829268292682927,0.6842105263157895,0.7431055357968146
All3,pca32_lr_l2,33,0.6944444444444444,0.717948717948718,0.7306501547987616,0.7711769434118187
All3,pca32_lr_l2,34,0.8333333333333334,0.85,0.825,0.7956945945781085
All3,pca32_lr_l2,35,0.7777777777777778,0.7647058823529411,0.8625,0.9048922890834656
All3,pca32_lr_l2,36,0.5945945945945946,0.6153846153846154,0.6676470588235294,0.6430206252081252
All3,pca32_lr_l2,37,0.6111111111111112,0.6818181818181818,0.6408668730650156,0.688153668731472
All3,pca32_lr_l2,38,0.75,0.7692307692307693,0.848297213622291,0.8573689892881748
All3,pca32_lr_l2,39,0.8055555555555556,0.8372093023255814,0.83125,0.8457380787296491
All3,pca32_lr_l2,40,0.75,0.7567567567567568,0.834375,0.8949030881399305
All3,pca32_lr_l2,41,0.8108108108108109,0.8292682926829268,0.8558823529411765,0.8585735304427256
All3,pca32_lr_l2,42,0.6944444444444444,0.6666666666666666,0.7306501547987616,0.7232625583422807
All3,pca32_lr_l2,43,0.7222222222222222,0.7222222222222222,0.7554179566563467,0.8161527481449755
All3,pca32_lr_l2,44,0.6944444444444444,0.717948717948718,0.75,0.8200597041847042
All3,pca32_lr_l2,45,0.6388888888888888,0.6666666666666666,0.73125,0.7217057732217579
All3,pca32_lr_l2,46,0.7567567567567568,0.7567567567567568,0.7941176470588235,0.8457524309334656
All3,pca32_lr_l2,47,0.7777777777777778,0.75,0.8823529411764706,0.9177421554600957
All3,pca32_lr_l2,48,0.6944444444444444,0.6857142857142857,0.8018575851393188,0.8465365232875419
All3,pca32_lr_l2,49,0.75,0.7804878048780488,0.728125,0.7013805173341786
All3,pca32_lr_l2,50,0.7222222222222222,0.7727272727272727,0.76875,0.821799732320281
All3,mi128_lr_l2,1,0.7297297297297297,0.75,0.7029411764705883,0.7686700334762855
All3,mi128_lr_l2,2,0.8055555555555556,0.8372093023255814,0.8142414860681114,0.7488785285665931
All3,mi128_lr_l2,3,0.7777777777777778,0.7894736842105263,0.8421052631578947,0.8545608295474083
All3,mi128_lr_l2,4,0.7777777777777778,0.7647058823529411,0.8375,0.8863428238428239
All3,mi128_lr_l2,5,0.6388888888888888,0.6285714285714286,0.79375,0.7924934397674336
All3,mi128_lr_l2,6,0.6486486486486487,0.6829268292682927,0.7117647058823529,0.7037198848427642
All3,mi128_lr_l2,7,0.6388888888888888,0.6060606060606061,0.8173374613003096,0.84603289964521
All3,mi128_lr_l2,8,0.7777777777777778,0.7777777777777778,0.869969040247678,0.8864168888794111
All3,mi128_lr_l2,9,0.6944444444444444,0.7027027027027027,0.8031250000000001,0.7633347991634605
All3,mi128_lr_l2,10,0.7222222222222222,0.7222222222222222,0.846875,0.8571747844388007
All3,mi128_lr_l2,11,0.8108108108108109,0.8108108108108109,0.8911764705882352,0.9279208109142321
All3,mi128_lr_l2,12,0.6388888888888888,0.6060606060606061,0.7925696594427245,0.8152914370212334
All3,mi128_lr_l2,13,0.6944444444444444,0.7441860465116279,0.826625386996904,0.8642434345466379
All3,mi128_lr_l2,14,0.7222222222222222,0.7619047619047619,0.784375,0.7668535177170088
All3,mi128_lr_l2,15,0.5833333333333334,0.5945945945945946,0.734375,0.7892934042221971
All3,mi128_lr_l2,16,0.6216216216216216,0.5882352941176471,0.6352941176470588,0.7428822059729769
